timestamp,device_id,location,crop_type,season,temperature,humidity,rainfall,soil_moisture,soil_ph,light_intensity,fertilizer_used,irrigation_needed,crop_health,yield_estimate,pest_risk,anomaly_flag
2024-01-01 00:00:00,BD-MYM-002,Mymensingh,Rice,winter,23.16,59.08,0.0,41.64,6.63,16.0,61.58,0,Healthy,4.29,Low,0
2024-01-01 00:00:00,BD-MYM-005,Mymensingh,Wheat,winter,23.79,56.87,0.0,57.24,6.57,52.0,11.52,0,Healthy,3.25,Low,0
2024-01-01 00:00:00,BD-RAJ-003,Rajshahi,Rice,winter,19.64,62.09,0.0,51.01,5.64,79.0,31.35,0,Healthy,4.67,Low,0
2024-01-01 01:00:00,BD-MYM-002,Mymensingh,Tomato,winter,18.68,52.33,14.87,75.14,6.26,68.0,24.17,0,Healthy,35.56,Low,0
2024-01-01 01:00:00,BD-CHA-001,Chattogram,Rice,winter,20.75,59.96,0.0,64.59,6.01,31.0,85.57,0,Healthy,4.4,Low,0
2024-01-01 02:00:00,BD-DHA-004,Dhaka,Wheat,winter,24.79,61.46,0.0,59.14,6.75,39.0,23.98,0,Healthy,3.17,Low,0
2024-01-01 02:00:00,BD-KHU-001,Khulna,Tomato,winter,18.86,54.13,0.0,62.45,6.35,7.0,41.64,0,Healthy,37.08,Low,0
2024-01-01 03:00:00,BD-RAJ-007,Rajshahi,Wheat,winter,24.07,58.62,0.0,45.16,6.93,33.0,49.51,0,Healthy,3.07,Low,0
2024-01-01 03:00:00,BD-CHA-005,Chattogram,Rice,winter,24.75,54.01,0.0,49.65,6.9,12.0,49.46,0,Healthy,4.65,Low,0
2024-01-01 03:00:00,BD-RAJ-007,Rajshahi,Jute,winter,23.86,82.48,0.0,42.51,6.23,31.0,24.02,0,Healthy,2.87,Low,0
2024-01-01 04:00:00,BD-SYL-003,Sylhet,Wheat,winter,20.75,50.03,0.0,48.29,6.6,93.0,40.03,0,Healthy,3.46,Low,0
2024-01-01 04:00:00,BD-SYL-002,Sylhet,Rice,winter,24.7,69.15,0.0,52.2,6.22,23.0,23.45,0,Healthy,4.56,Low,0
2024-01-01 05:00:00,BD-CHA-002,Chattogram,Jute,winter,15.8,62.3,0.0,60.37,5.88,94.0,34.3,0,Healthy,2.96,Low,0
2024-01-01 05:00:00,BD-SYL-005,Sylhet,Rice,winter,17.28,59.88,0.0,44.84,6.52,5.0,79.26,0,Healthy,4.46,Low,0
2024-01-01 06:00:00,BD-MYM-008,Mymensingh,Tomato,winter,20.66,57.19,0.0,67.94,6.8,3955.0,11.81,0,Healthy,35.18,Low,0
2024-01-01 06:00:00,BD-DHA-007,Dhaka,Rice,winter,23.37,74.6,9.02,49.76,6.27,0.0,19.93,0,Healthy,4.73,Low,1
2024-01-01 06:00:00,BD-KHU-005,Khulna,Tomato,winter,18.38,60.46,0.0,65.29,6.13,3103.0,26.78,0,Healthy,33.97,Low,0
2024-01-01 07:00:00,BD-SYL-004,Sylhet,Rice,winter,21.17,63.71,0.0,58.02,7.02,2315.0,33.69,0,Healthy,4.34,Low,0
2024-01-01 07:00:00,BD-DHA-004,Dhaka,Jute,winter,22.61,65.21,0.0,66.58,5.85,13441.0,54.34,0,Healthy,2.7,Low,0
2024-01-01 08:00:00,BD-DHA-004,Dhaka,Rice,winter,22.53,65.65,0.53,55.88,6.01,24979.0,56.5,0,Healthy,4.43,Low,0
2024-01-01 08:00:00,BD-CHA-005,Chattogram,Potato,winter,20.25,52.46,0.0,66.76,5.97,24110.0,67.94,0,Healthy,24.1,Low,0
2024-01-01 09:00:00,BD-MYM-006,Mymensingh,Wheat,winter,19.92,54.56,0.0,66.4,6.7,34331.0,40.76,0,Healthy,3.28,Low,0
2024-01-01 09:00:00,BD-SYL-006,Sylhet,Wheat,winter,18.72,59.77,0.0,48.71,6.99,27167.0,44.28,0,Healthy,3.05,Low,0
2024-01-01 09:00:00,BD-MYM-005,Mymensingh,Rice,winter,23.1,59.51,0.0,48.32,6.81,33512.0,23.16,0,Healthy,4.49,Low,0
2024-01-01 10:00:00,BD-KHU-003,Khulna,Tomato,winter,23.66,60.62,0.0,43.18,6.56,34932.0,7.14,0,Healthy,37.86,Low,0
2024-01-01 10:00:00,BD-MYM-004,Mymensingh,Wheat,winter,24.53,67.03,0.0,59.76,6.56,36163.0,35.14,0,Healthy,3.48,Low,0
2024-01-01 11:00:00,BD-CHA-007,Chattogram,Jute,winter,25.35,60.05,0.0,59.01,6.46,37061.0,45.18,0,Healthy,2.82,Low,0
2024-01-01 11:00:00,BD-MYM-004,Mymensingh,Jute,winter,20.87,60.55,0.0,38.31,6.34,36564.0,31.6,0,Healthy,2.68,Low,0
2024-01-01 12:00:00,BD-DHA-004,Dhaka,Rice,winter,19.92,57.77,0.0,50.47,6.77,36348.0,34.33,0,Healthy,4.31,Low,0
2024-01-01 12:00:00,BD-SYL-007,Sylhet,Jute,winter,27.0,64.23,0.0,47.15,6.38,45240.0,17.43,0,Healthy,2.77,Low,0
